nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nc2sc3c(c2c1=O)CCCC3,P00915,Kd,4.823908740944319,CHEMBL517746,CHEMBL261
C=Cc1ccc(C[n+]2ccn(CCCCCCCCCC)c2C)cc1,P00915,Kd,7.577574323628795,CHEMBL5193557,CHEMBL261
C=Cc1ccc(C[n+]2ccn(Cc3ccccc3)c2C)cc1,P00915,Kd,7.577574323628795,CHEMBL5207182,CHEMBL261
C=Cc1ccc(C[n+]2cn(Cc3c(C)c(C)cc(C)c3C)c3ccccc32)cc1,P00915,Kd,6.454692883534176,CHEMBL5176804,CHEMBL261
CC(=CCOc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1,P00915,Kd,5.010995384301463,CHEMBL56918,CHEMBL261
CC(=CCOc1ccc2ccc(=O)oc2c1)CCC(=O)C(C)(C)O,P00915,Kd,5.1073489661227,CHEMBL2003049,CHEMBL261
CC(=CCc1cc2ccc(=O)oc2cc1O)CO,P00915,Kd,5.123782159408358,CHEMBL2334353,CHEMBL261
CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccc(Br)cc1,P00915,Kd,4.374173286714289,CHEMBL235501,CHEMBL261
CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccc(C)cc1,P00915,Kd,5.364516253185088,CHEMBL235700,CHEMBL261
CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccc([N+](=O)[O-])cc1,P00915,Kd,5.064492734175287,CHEMBL235502,CHEMBL261
CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccccc1,P00915,Kd,5.041436116778033,CHEMBL235692,CHEMBL261
CC(=NNC(=O)c1ccc(Cl)cc1)C(=NNc1ccc(S(N)(=O)=O)cc1)N1CCCCC1,P00915,Kd,6.8794260687941495,CHEMBL3098522,CHEMBL261
CC(=NNC(=O)c1ccc(Cl)cc1)C(Cl)=NNc1ccc(S(N)(=O)=O)cc1,P00915,Kd,6.732828271596986,CHEMBL3098535,CHEMBL261
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1cc2cc(Br)ccc2oc1=O,P00915,Kd,7.033858267260968,CHEMBL4764288,CHEMBL261
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1cc2ccccc2oc1=O,P00915,Kd,7.110138278741811,CHEMBL4756105,CHEMBL261
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(Br)cc1,P00915,Kd,6.200866306697938,CHEMBL4854779,CHEMBL261
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(Cl)cc1,P00915,Kd,6.536107011014092,CHEMBL4848298,CHEMBL261
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(F)cc1,P00915,Kd,7.310691140876379,CHEMBL4863150,CHEMBL261
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccccc1,P00915,Kd,7.185752404268079,CHEMBL4864894,CHEMBL261
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1sc2nc3ccccc3n2c1C,P00915,Kd,6.192871044407578,CHEMBL4789539,CHEMBL261
CC(=NNC(=O)c1ccccc1)C(=NNc1ccc(S(N)(=O)=O)cc1)N1CCCCC1,P00915,Kd,6.821023052706831,CHEMBL3098521,CHEMBL261
CC(=NNC(=O)c1ccccc1)C(Cl)=NNc1ccc(S(N)(=O)=O)cc1,P00915,Kd,6.872895201635192,CHEMBL3098534,CHEMBL261
CC(=NNC(=O)c1cccs1)C(=NNc1ccc(S(N)(=O)=O)cc1)N1CCCCC1,P00915,Kd,7.039529222465701,CHEMBL3098524,CHEMBL261
CC(=NNC(=O)c1cccs1)C(Cl)=NNc1ccc(S(N)(=O)=O)cc1,P00915,Kd,6.714442690992226,CHEMBL3098520,CHEMBL261
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccc(N2CCOCC2)cc1,P00915,Kd,6.100507803861868,CHEMBL4578451,CHEMBL261
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1,P00915,Kd,6.1985276864785295,CHEMBL4520887,CHEMBL261
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccncc1,P00915,Kd,6.529883646848996,CHEMBL4561594,CHEMBL261
CC(=NNC(N)=O)c1nnn(-c2ccc(S(=O)(=O)Nc3nccs3)cc2)c1C,P00915,Kd,4.334156448074682,CHEMBL4792442,CHEMBL261
CC(=NNC(N)=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,P00915,Kd,6.6724367398127225,CHEMBL4795119,CHEMBL261
CC(=NNC(N)=S)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,P00915,Kd,7.078313524516398,CHEMBL4791577,CHEMBL261
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2cc(Br)ccc2oc1=O,P00915,Kd,7.227630279641688,CHEMBL3805919,CHEMBL261
