nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
C=CCOc1ccc2ccc(=O)oc2c1,O43570,Kd,6.1938200260161125,CHEMBL432745,CHEMBL3242
C=CCOc1ccc2ccc(=S)oc2c1,O43570,Kd,5.548213564475709,CHEMBL1957182,CHEMBL3242
C=CCOc1ccc2oc(=O)ccc2c1,O43570,Kd,6.096910013008056,CHEMBL1957172,CHEMBL3242
C=CCOc1ccc2oc(=S)ccc2c1,O43570,Kd,5.903089986991944,CHEMBL1957181,CHEMBL3242
CC#CCN1C(=O)c2ccccc2S1(=O)=O,O43570,Kd,7.359518563029578,CHEMBL4062903,CHEMBL3242
CC#CCNS(=O)(=O)c1ccccc1C(=O)O,O43570,Kd,7.127261172527331,CHEMBL4091692,CHEMBL3242
CC(=CCOc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1,O43570,Kd,6.080921907623926,CHEMBL56918,CHEMBL3242
CC(=CCOc1ccc2ccc(=O)oc2c1)CCC(=O)C(C)(C)O,O43570,Kd,6.154901959985743,CHEMBL2003049,CHEMBL3242
CC(=CCc1cc2ccc(=O)oc2cc1O)CO,O43570,Kd,6.113509274827518,CHEMBL2334353,CHEMBL3242
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1cc2cc(Br)ccc2oc1=O,O43570,Kd,7.460923901207224,CHEMBL4764288,CHEMBL3242
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1cc2ccccc2oc1=O,O43570,Kd,7.705533773838407,CHEMBL4756105,CHEMBL3242
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1sc2nc3ccccc3n2c1C,O43570,Kd,7.863279432843593,CHEMBL4789539,CHEMBL3242
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccc(N2CCOCC2)cc1,O43570,Kd,8.00436480540245,CHEMBL4578451,CHEMBL3242
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1,O43570,Kd,7.623423042943488,CHEMBL4520887,CHEMBL3242
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccncc1,O43570,Kd,7.585026652029182,CHEMBL4561594,CHEMBL3242
CC(=NNC(N)=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,O43570,Kd,7.703334809738469,CHEMBL4795119,CHEMBL3242
CC(=NNC(N)=S)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,O43570,Kd,7.815308569182401,CHEMBL4791577,CHEMBL3242
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2cc(Cl)ccc2oc1=O,O43570,Kd,9.18045606445813,CHEMBL3805906,CHEMBL3242
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2ccccc2oc1=O,O43570,Kd,8.176112974865585,CHEMBL3805222,CHEMBL3242
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1sc2nc3ccccc3n2c1C,O43570,Kd,7.504455662453552,CHEMBL4750565,CHEMBL3242
CC(=NNc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,O43570,Kd,7.872895201635192,CHEMBL4780406,CHEMBL3242
CC(=NO)c1ccc(-c2ccc(O)c(F)c2)c(Cl)c1O,O43570,Kd,5.321481620959887,CHEMBL479836,CHEMBL3242
CC(=NO)c1ccc(-c2ccc(O)cc2)c(Cl)c1O,O43570,Kd,5.343901797987169,CHEMBL479638,CHEMBL3242
CC(=O)C1(c2ccccc2)CCN(C(=O)c2ccc(S(N)(=O)=O)cc2)CC1,O43570,Kd,7.2262135550188065,CHEMBL4590736,CHEMBL3242
CC(=O)C1=NN(c2ccccc2)C(=C(C#N)C(=O)Nc2ccc(S(N)(=O)=O)cc2)S1,O43570,Kd,9.193820026016112,CHEMBL2337539,CHEMBL3242
CC(=O)CC(=O)Nc1c(C#N)c(-c2ccc(Br)cc2)cn1-c1ccc(S(N)(=O)=O)cc1,O43570,Kd,8.065501548756432,CHEMBL3342501,CHEMBL3242
CC(=O)CN1C(=O)C=C(C)OS1(=O)=O,O43570,Kd,6.798602875679549,CHEMBL3322440,CHEMBL3242
CC(=O)CN1C(=O)c2ccccc2S1(=O)=O,O43570,Kd,6.356547323513812,CHEMBL415079,CHEMBL3242
CC(=O)COC1=NS(=O)(=O)OC(C)=C1,O43570,Kd,6.804100347590767,CHEMBL3322441,CHEMBL3242
CC(=O)Cc1nc2c3c(-c4ccc(Br)cc4)cn(-c4ccc(S(N)(=O)=O)cc4)c3ncn2n1,O43570,Kd,7.101274818410507,CHEMBL3298349,CHEMBL3242
CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,O43570,Kd,8.292429823902063,CHEMBL3601464,CHEMBL3242
CC(=O)N1N=C(c2ccc(C)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,O43570,Kd,8.397940008672037,CHEMBL3601460,CHEMBL3242
CC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccc(OS(N)(=O)=O)cc1,O43570,Kd,8.113509274827518,CHEMBL4473899,CHEMBL3242
CC(=O)N1N=C(c2ccc(C)cc2)CC1c1cccc(OS(N)(=O)=O)c1,O43570,Kd,7.302770657240282,CHEMBL4578546,CHEMBL3242
CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(OS(N)(=O)=O)cc1,O43570,Kd,7.889410289700751,CHEMBL4519062,CHEMBL3242
CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1cccc(OS(N)(=O)=O)c1,O43570,Kd,7.0695604052333,CHEMBL4452172,CHEMBL3242
