nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
CC(=NOC(C)C)c1ccc2c(c1)c1c3c(c4c(c1n2C(C)C)CCc1nn(C)cc1-4)C(=O)NC3,P35968,IC50,7.958607314841775,CHEMBL429138,CHEMBL279
CC(=NOCC(C)C)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)-c1cn(C)nc1CC4,P35968,IC50,8.0,CHEMBL258433,CHEMBL279
CC(=NOCC(C)C)c1ccc2c(c1)c1c3c(c4c(c1n2C(C)C)CCc1nn(C)cc1-4)C(=O)NC3,P35968,IC50,7.292429823902063,CHEMBL258436,CHEMBL279
CC(=O)N1CCN(CCOc2cc(OC(C)C)c3c(Nc4c(F)ccc5c4OCO5)ncnc3c2)CC1,P35968,IC50,5.187086643357144,CHEMBL386996,CHEMBL279
CC(=O)N1CCN(CCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,P35968,IC50,8.397940008672037,CHEMBL119276,CHEMBL279
CC(=O)N1CCN(Cc2ccnc(Nc3ncc(-c4ccccc4)s3)c2)CC1,P35968,IC50,8.096910013008056,CHEMBL221926,CHEMBL279
CC(=O)N1CCN(Cc2ccnc(Nc3ncc(C#N)s3)c2)CC1,P35968,IC50,7.886056647693163,CHEMBL224036,CHEMBL279
CC(=O)N1CCN(c2cc(Nc3ncc(C#N)s3)ncn2)CC1,P35968,IC50,7.886056647693163,CHEMBL203585,CHEMBL279
CC(=O)N1CCN(c2nccc(Nc3ncc(C#N)s3)n2)CC1,P35968,IC50,6.815308569182401,CHEMBL203404,CHEMBL279
CC(=O)N1CCc2[nH]c(C=C3C(=O)Nc4ccc(C#N)cc43)cc2C1,P35968,IC50,7.698970004336019,CHEMBL2403377,CHEMBL279
CC(=O)N1CCc2[nH]c(C=C3C(=O)Nc4ccc(C(F)(F)F)cc43)cc2C1,P35968,IC50,6.494850021680094,CHEMBL2403376,CHEMBL279
CC(=O)N1CCc2[nH]c(C=C3C(=O)Nc4ccc(OC(C)C)cc43)cc2C1,P35968,IC50,6.045757490560675,CHEMBL2403375,CHEMBL279
CC(=O)N1CCc2[nH]c(C=C3C(=O)Nc4ccc([N+](=O)[O-])cc43)cc2C1,P35968,IC50,7.221848749616356,CHEMBL2403378,CHEMBL279
CC(=O)N1CCc2c(ncnc2Oc2ccc3c(ccn3C(=O)Nc3cccc(C(F)(F)F)c3)c2)C1,P35968,IC50,8.154901959985743,CHEMBL3746052,CHEMBL279
CC(=O)N1Cc2ncnc(Oc3ccc4c(ccn4C(=O)Nc4cc(C5CC5)on4)c3)c2CC1C,P35968,IC50,8.259637310505756,CHEMBL4077373,CHEMBL279
CC(=O)N1N=C(C2CCCO2)CC1c1cn(-c2ccccc2)nc1-c1cccc([N+](=O)[O-])c1,P35968,IC50,6.657577319177793,CHEMBL5395396,CHEMBL279
CC(=O)Nc1c(C(N)=O)sc2[nH]nc(C)c12,P35968,IC50,4.721246399047171,CHEMBL199737,CHEMBL279
