nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
C=CCOc1cc(=S)oc2ccccc12,Q16790,Kd,5.517126416391246,CHEMBL1957183,CHEMBL3594
C=CCOc1ccc(S(N)(=O)=O)cc1,Q16790,Kd,7.8696662315049934,CHEMBL3402960,CHEMBL3594
C=CCOc1ccc2ccc(=O)oc2c1,Q16790,Kd,6.136677139879544,CHEMBL432745,CHEMBL3594
C=CCOc1ccc2ccc(=S)oc2c1,Q16790,Kd,5.490797477668897,CHEMBL1957182,CHEMBL3594
C=CCOc1ccc2oc(=O)ccc2c1,Q16790,Kd,6.031517051446064,CHEMBL1957172,CHEMBL3594
C=CCOc1ccc2oc(=S)ccc2c1,Q16790,Kd,5.486782399932061,CHEMBL1957181,CHEMBL3594
C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nc2sc3c(c2c1=O)CCCC3,Q16790,Kd,5.560667306169737,CHEMBL517746,CHEMBL3594
CC#CCN1C(=O)c2ccccc2S1(=O)=O,Q16790,Kd,6.249491605148654,CHEMBL4062903,CHEMBL3594
CC#CCNS(=O)(=O)c1ccccc1C(=O)O,Q16790,Kd,6.6020599913279625,CHEMBL4091692,CHEMBL3594
CC(=CCOc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1,Q16790,Kd,6.221848749616356,CHEMBL56918,CHEMBL3594
CC(=CCOc1ccc2ccc(=O)oc2c1)CCC(=O)C(C)(C)O,Q16790,Kd,5.39469495385889,CHEMBL2003049,CHEMBL3594
CC(=CCc1cc2ccc(=O)oc2cc1O)CO,Q16790,Kd,5.010995384301463,CHEMBL2334353,CHEMBL3594
CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccc(Br)cc1,Q16790,Kd,5.164309428507575,CHEMBL235501,CHEMBL3594
CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccc(Cl)cc1,Q16790,Kd,5.068033885271827,CHEMBL391990,CHEMBL3594
CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccc([N+](=O)[O-])cc1,Q16790,Kd,5.122628654130226,CHEMBL235502,CHEMBL3594
CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccccc1,Q16790,Kd,5.128427064454121,CHEMBL235692,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1cc2cc(Br)ccc2oc1=O,Q16790,Kd,7.703334809738469,CHEMBL4764288,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1cc2ccccc2oc1=O,Q16790,Kd,7.500312917381596,CHEMBL4756105,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(Br)cc1,Q16790,Kd,6.0168700752653,CHEMBL4854779,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(Cl)cc1,Q16790,Kd,6.496345480757041,CHEMBL4848298,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(F)cc1,Q16790,Kd,5.8395314688809625,CHEMBL4863150,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)C3C(C2=O)C2(Cl)C(Cl)=C(Cl)C3(Cl)C2(Cl)Cl)cc1,Q16790,Kd,7.761953896871205,CHEMBL5196185,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)C3CC=CCC3C2=O)cc1,Q16790,Kd,7.761953896871205,CHEMBL5183653,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3c(Br)c(Br)c(Br)c(Br)c3C2=O)cc1,Q16790,Kd,7.761953896871205,CHEMBL5204952,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3c(Cl)c(Cl)c(Cl)c(Cl)c3C2=O)cc1,Q16790,Kd,7.761953896871205,CHEMBL4520545,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3cc(Cl)c(Cl)cc3C2=O)cc1,Q16790,Kd,6.771343041891065,CHEMBL5180451,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,Q16790,Kd,7.761953896871205,CHEMBL5195474,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3ccc(C(C)(C)C)cc3C2=O)cc1,Q16790,Kd,7.076755981369724,CHEMBL5188471,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3ccc(C)cc3C2=O)cc1,Q16790,Kd,7.761953896871205,CHEMBL5188833,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(N2C(=O)c3ccccc3C2=O)cc1,Q16790,Kd,7.761953896871205,CHEMBL5202860,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccccc1,Q16790,Kd,6.492548939098031,CHEMBL4864894,CHEMBL3594
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1sc2nc3ccccc3n2c1C,Q16790,Kd,8.259637310505756,CHEMBL4789539,CHEMBL3594
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccc(N2CCOCC2)cc1,Q16790,Kd,7.498940737782249,CHEMBL4578451,CHEMBL3594
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1,Q16790,Kd,7.384049948343599,CHEMBL4520887,CHEMBL3594
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccncc1,Q16790,Kd,8.236572006437063,CHEMBL4561594,CHEMBL3594
CC(=NNC(N)=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,Q16790,Kd,5.374893424596532,CHEMBL4795119,CHEMBL3594
CC(=NNC(N)=S)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,Q16790,Kd,5.138465589140962,CHEMBL4791577,CHEMBL3594
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2cc(Br)ccc2o1,Q16790,Kd,7.557520230935552,CHEMBL4856055,CHEMBL3594
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2cc(Br)ccc2oc1=O,Q16790,Kd,7.621728346566987,CHEMBL3805919,CHEMBL3594
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2cc(Cl)ccc2oc1=O,Q16790,Kd,8.628932137728263,CHEMBL3805906,CHEMBL3594
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2ccccc2oc1=O,Q16790,Kd,7.29527708405714,CHEMBL3805222,CHEMBL3594
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1sc2nc3ccccc3n2c1C,Q16790,Kd,7.13608262304214,CHEMBL4750565,CHEMBL3594
CC(=NNc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,Q16790,Kd,5.102757897194635,CHEMBL4780406,CHEMBL3594
CC(=NO)c1ccc(-c2ccc(O)c(F)c2)c(Cl)c1O,Q16790,Kd,5.149966742310231,CHEMBL479836,CHEMBL3594
CC(=NO)c1ccc(-c2ccc(O)cc2)c(Cl)c1O,Q16790,Kd,4.99225222199926,CHEMBL479638,CHEMBL3594
CC(=NO)c1ccc(N2C(=O)C3C(C2=O)C2(Cl)C(Cl)=C(Cl)C3(Cl)C2(Cl)Cl)cc1,Q16790,Kd,6.771343041891065,CHEMBL5187451,CHEMBL3594
CC(=NO)c1ccc(N2C(=O)C3CC=CCC3C2=O)cc1,Q16790,Kd,6.771343041891065,CHEMBL5205186,CHEMBL3594
CC(=NO)c1ccc(N2C(=O)c3c(Br)c(Br)c(Br)c(Br)c3C2=O)cc1,Q16790,Kd,6.771343041891065,CHEMBL5189802,CHEMBL3594
CC(=NO)c1ccc(N2C(=O)c3c(Cl)c(Cl)c(Cl)c(Cl)c3C2=O)cc1,Q16790,Kd,6.771343041891065,CHEMBL5197226,CHEMBL3594
CC(=NO)c1ccc(N2C(=O)c3cc(Cl)c(Cl)cc3C2=O)cc1,Q16790,Kd,6.771343041891065,CHEMBL5191018,CHEMBL3594
CC(=NO)c1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,Q16790,Kd,6.771343041891065,CHEMBL5199772,CHEMBL3594
CC(=NO)c1ccc(N2C(=O)c3ccc(C(C)(C)C)cc3C2=O)cc1,Q16790,Kd,6.771343041891065,CHEMBL5183963,CHEMBL3594
CC(=NO)c1ccc(N2C(=O)c3ccc(C)cc3C2=O)cc1,Q16790,Kd,6.771343041891065,CHEMBL5206928,CHEMBL3594
CC(=NO)c1ccc(N2C(=O)c3ccccc3C2=O)cc1,Q16790,Kd,6.771343041891065,CHEMBL5190819,CHEMBL3594
CC(=O)C1(c2ccccc2)CCN(C(=O)c2ccc(S(N)(=O)=O)cc2)CC1,Q16790,Kd,8.508638306165727,CHEMBL4590736,CHEMBL3594
CC(=O)C1=NN(c2ccccc2)C(=C(C#N)C(=O)Nc2ccc(S(N)(=O)=O)cc2)S1,Q16790,Kd,9.481486060122112,CHEMBL2337539,CHEMBL3594
CC(=O)CC(=O)Nc1c(C#N)c(-c2ccc(Br)cc2)cn1-c1ccc(S(N)(=O)=O)cc1,Q16790,Kd,8.259637310505756,CHEMBL3342501,CHEMBL3594
CC(=O)CN1C(=O)c2ccccc2S1(=O)=O,Q16790,Kd,6.823908740944319,CHEMBL415079,CHEMBL3594
CC(=O)Cc1nc2c3c(-c4ccc(Br)cc4)cn(-c4ccc(S(N)(=O)=O)cc4)c3ncn2n1,Q16790,Kd,8.508638306165727,CHEMBL3298349,CHEMBL3594
CC(=O)N1CCN(C(=O)c2ccc(S(N)(=O)=O)cc2)C(Cc2ccccc2)C1,Q16790,Kd,6.736662395680282,CHEMBL4161747_CHEMBL4169677,CHEMBL3594
CC(=O)N1CCN(C(=O)c2ccc(S(N)(=O)=O)cc2)CC1Cc1ccccc1,Q16790,Kd,6.860337553140885,CHEMBL4166970_CHEMBL4167883,CHEMBL3594
CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,Q16790,Kd,7.172630726946174,CHEMBL3601464,CHEMBL3594
CC(=O)N1N=C(c2ccc(C)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,Q16790,Kd,7.173277479831008,CHEMBL3601460,CHEMBL3594
CC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccc(OS(N)(=O)=O)cc1,Q16790,Kd,7.649751981665837,CHEMBL4473899,CHEMBL3594
CC(=O)N1N=C(c2ccc(C)cc2)CC1c1cccc(OS(N)(=O)=O)c1,Q16790,Kd,8.050609993355087,CHEMBL4578546,CHEMBL3594
CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(OS(N)(=O)=O)cc1,Q16790,Kd,8.113509274827518,CHEMBL4519062,CHEMBL3594
CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1cccc(OS(N)(=O)=O)c1,Q16790,Kd,7.809668301829708,CHEMBL4452172,CHEMBL3594
CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,Q16790,Kd,7.511449283499555,CHEMBL3601463,CHEMBL3594
CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(OS(N)(=O)=O)cc1,Q16790,Kd,8.080921907623926,CHEMBL4532533,CHEMBL3594
CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1cccc(OS(N)(=O)=O)c1,Q16790,Kd,9.09151498112135,CHEMBL4539997,CHEMBL3594
CC(=O)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccc(OS(N)(=O)=O)cc1,Q16790,Kd,7.30189945437661,CHEMBL4453349,CHEMBL3594
CC(=O)N1N=C(c2ccc(Cl)cc2Cl)CC1c1cccc(OS(N)(=O)=O)c1,Q16790,Kd,7.312471038785365,CHEMBL4465172,CHEMBL3594
CC(=O)N1N=C(c2ccc(F)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,Q16790,Kd,8.161150909262744,CHEMBL3601462,CHEMBL3594
CC(=O)N1N=C(c2ccc(F)cc2)CC1c1cccc(OS(N)(=O)=O)c1,Q16790,Kd,7.81554059882531,CHEMBL4561870,CHEMBL3594
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1c(Cl)cccc1Cl,Q16790,Kd,7.476253533188435,CHEMBL4532575,CHEMBL3594
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1cc(Cl)ccc1Cl,Q16790,Kd,7.711599052085543,CHEMBL4459675,CHEMBL3594
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(C(F)(F)F)cc1,Q16790,Kd,7.681435332125466,CHEMBL4580659,CHEMBL3594
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(C)cc1,Q16790,Kd,8.148741651280925,CHEMBL4441496,CHEMBL3594
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(Cl)cc1,Q16790,Kd,8.161150909262744,CHEMBL4438539,CHEMBL3594
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(Cl)cc1Cl,Q16790,Kd,7.950781977329818,CHEMBL4567031,CHEMBL3594
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(F)cc1,Q16790,Kd,8.229147988357855,CHEMBL4454540,CHEMBL3594
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc([N+](=O)[O-])cc1,Q16790,Kd,7.479374735422233,CHEMBL4590447,CHEMBL3594
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1cccc(Cl)c1,Q16790,Kd,9.142667503568733,CHEMBL4581991,CHEMBL3594
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1cccc2ccccc12,Q16790,Kd,7.309803919971486,CHEMBL4465274,CHEMBL3594
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccccc1,Q16790,Kd,7.648491952806273,CHEMBL4540711,CHEMBL3594
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccccc1Cl,Q16790,Kd,7.708219260261895,CHEMBL4559197,CHEMBL3594
CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)CC1c1ccc(OS(N)(=O)=O)cc1,Q16790,Kd,7.823908740944319,CHEMBL4456443,CHEMBL3594
CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)CC1c1cccc(OS(N)(=O)=O)c1,Q16790,Kd,8.0268721464003,CHEMBL4447257,CHEMBL3594
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1c(Cl)cccc1Cl,Q16790,Kd,7.196542884351587,CHEMBL4451882,CHEMBL3594
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1cc(Cl)ccc1Cl,Q16790,Kd,7.229884705212898,CHEMBL4446038,CHEMBL3594
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc(C(F)(F)F)cc1,Q16790,Kd,8.431798275933005,CHEMBL4464778,CHEMBL3594
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc(C)cc1,Q16790,Kd,7.531652669587842,CHEMBL4445724,CHEMBL3594
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc(Cl)cc1,Q16790,Kd,8.161150909262744,CHEMBL4470818,CHEMBL3594
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc(Cl)cc1Cl,Q16790,Kd,7.860120913598763,CHEMBL4454405,CHEMBL3594
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc(F)cc1,Q16790,Kd,8.075720713938118,CHEMBL4472783,CHEMBL3594
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc([N+](=O)[O-])cc1,Q16790,Kd,7.995678626217357,CHEMBL4447073,CHEMBL3594
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1cccc(Cl)c1,Q16790,Kd,8.136677139879545,CHEMBL4529542,CHEMBL3594
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1cccc2ccccc12,Q16790,Kd,7.291579099865287,CHEMBL4451504,CHEMBL3594
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccccc1,Q16790,Kd,7.52432881167557,CHEMBL4581321,CHEMBL3594
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccccc1Cl,Q16790,Kd,7.360513510731414,CHEMBL4455505,CHEMBL3594
CC(=O)N1N=C(c2ccccc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,Q16790,Kd,7.199970640755866,CHEMBL3601459,CHEMBL3594
CC(=O)N1N=C(c2ccccc2)CC1c1ccc(OS(N)(=O)=O)cc1,Q16790,Kd,7.345823458122039,CHEMBL4527048,CHEMBL3594
CC(=O)N1N=C(c2ccccc2)CC1c1cccc(OS(N)(=O)=O)c1,Q16790,Kd,7.882728704344236,CHEMBL4562874,CHEMBL3594
CC(=O)NC1C(O)C(O)C(CO)OC1n1cc(-c2ccc(S(N)(=O)=O)cc2)nn1,Q16790,Kd,7.070581074285707,CHEMBL270334,CHEMBL3594
CC(=O)NC1C(O)C(O)C(CO)OC1n1cc(CNC(=O)c2ccc(S(N)(=O)=O)cc2)nn1,Q16790,Kd,6.623423042943488,CHEMBL217232,CHEMBL3594
CC(=O)NC1C(O)C(O)C(CO)OC1n1cc(COC(=O)c2ccc(S(N)(=O)=O)cc2)nn1,Q16790,Kd,6.96657624451305,CHEMBL217303,CHEMBL3594
CC(=O)NC1C(OC(C)=O)C(OC(C)=O)C(COC(C)=O)OC1n1cc(-c2ccc(S(N)(=O)=O)cc2)nn1,Q16790,Kd,6.995678626217357,CHEMBL270994,CHEMBL3594
CC(=O)NC1CCc2cc(S(N)(=O)=O)ccc21,Q16790,Kd,6.714442690992226,CHEMBL359768,CHEMBL3594
CC(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,Q16790,Kd,6.537602002101044,CHEMBL184674,CHEMBL3594
CC(=O)NCCNc1cccc2ccccc12,Q16790,Kd,4.913640169325252,CHEMBL1214323,CHEMBL3594
CC(=O)NNc1ccccc1S(N)(=O)=O,Q16790,Kd,6.756961951313706,CHEMBL175652,CHEMBL3594
CC(=O)NS(=O)(=O)c1ccc(C2=NN(C(C)=O)C(c3ccc(C(F)(F)F)cc3)O2)cc1,Q16790,Kd,6.329754146925875,CHEMBL4129095,CHEMBL3594
CC(=O)NS(=O)(=O)c1ccc(C2=NN(C(C)=O)C(c3ccc(C)cc3)O2)cc1,Q16790,Kd,6.29929628285498,CHEMBL4129969,CHEMBL3594
CC(=O)NS(=O)(=O)c1ccc(C2=NN(C(C)=O)C(c3ccc(Cl)cc3)O2)cc1,Q16790,Kd,6.29929628285498,CHEMBL4128603,CHEMBL3594
