nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
CC(=NNC(=S)NCCCCCC(=O)NO)c1cccc(Br)c1,Q13547,IC50,7.262648304196285,CHEMBL4791832,CHEMBL325
CC(=NO)c1sccc1-c1ccc(C2(C(=O)Nc3ccc(C(=O)NO)cc3)CCCC2)cc1,Q13547,IC50,7.366531544420413,CHEMBL4633075,CHEMBL325
CC(=O)CCCCCC(NC(=O)C1CCCCN1C)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,Q13547,IC50,6.267606240177031,CHEMBL218129,CHEMBL325
CC(=O)CCCCCC(NC(=O)C1CCCCN1C)C(=O)Nc1cccc(-c2ccccc2)c1,Q13547,IC50,7.102372908709558,CHEMBL217314,CHEMBL325
CC(=O)CCCCCC(NC(=O)C1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,Q13547,IC50,7.259637310505756,CHEMBL217651,CHEMBL325
CC(=O)CCCCCC(NC(=O)C1CCCCN1C)c1ncc(-c2ccccc2)[nH]1,Q13547,IC50,6.1487416512809245,CHEMBL486568,CHEMBL325
CC(=O)CCCCCC(NC(=O)C1CCCN(C)C1)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,Q13547,IC50,6.698970004336019,CHEMBL387224,CHEMBL325
CC(=O)CCCCCC(NC(=O)C1CCCN(C)C1)c1ncc(-c2ccccc2)[nH]1,Q13547,IC50,6.657577319177793,CHEMBL486975,CHEMBL325
CC(=O)CCCCCC(NC(=O)C1CCN(C)C1)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,Q13547,IC50,6.657577319177793,CHEMBL387015,CHEMBL325
CC(=O)CCCCCC(NC(=O)C1CCN(C)C1)c1ncc(-c2ccccc2)[nH]1,Q13547,IC50,6.552841968657781,CHEMBL469742,CHEMBL325
CC(=O)CCCCCC(NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc(-c3ccccc3)cc2)[nH]1,Q13547,IC50,7.301029995663981,CHEMBL519716,CHEMBL325
CC(=O)CCCCCC(NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc(Br)cc2)[nH]1,Q13547,IC50,7.0,CHEMBL485723,CHEMBL325
CC(=O)CCCCCC(NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc(C#N)cc2)[nH]1,Q13547,IC50,6.920818753952375,CHEMBL487778,CHEMBL325
CC(=O)CCCCCC(NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc(Cl)cc2)[nH]1,Q13547,IC50,7.1249387366083,CHEMBL520526,CHEMBL325
